0Dreamstars.ModTranslation-name|模组翻译
Your enemies close in around you, but it won't be like your first time.<LINE>Snatch your spear and rock.|敌人环伺，但这已不再像初见那时。<LINE>握紧你的长矛和石头。
Remember: they struck first, so you'll need to hit back harder.|记住:他们先手相犯，所以你要加倍奉还。
Afflicted from the beginning, and a fighter to the end.<LINE>Show them the meaning of suffering.|生来罹难，战至终章。<LINE>向他们展现苦难的意义。
Observe all weakness - then strike while cloaked in shadows.|观察所有弱点——然后在阴影掩护下出击。
Your tale of twist and turns is near-complete.<LINE>Crush this one last quest.|你曲折的旅程将近完结。<LINE>完成这最后的任务。
An explosive personality and unmatched anger.<LINE>Maul and detonate your way to vengeance.|爆裂的个性和不可匹敌的愤怒。<LINE>用撕咬和轰炸开辟你的复仇之路。
A gnawing hunger grows inside you. Feed it with spears.|一种生长着的饥渴在你体内啃食，用长矛来满足它吧。
In a world lacking purpose, perhaps you've finally found yours.<LINE>Move quickly so it's not lost.|在这个没有意义的世界里，你或许终于找到了目标。<LINE>动作要快，莫要放走。
The spear is a weak vessel. Shape the world<LINE>from the markings of your mind.|长矛只是脆弱的容器，要用你心灵的印记改变世界。
The mind is a weak vessel. Show your prowess<LINE>by the spear in your hand.|心灵只是脆弱的容器，要用你手中的长矛展示本领。
Desperate. Fearful. Violent.|绝望、恐惧、暴力。
Open: Voices. Choice. Burdened.<LINE>Closed: Whispers. Convergence. Drowning.<LINE>Open: Echoes. Clarity. Weightless.|开放:声音、选择、重负。<LINE>关闭:低语、汇聚、沉没。<LINE>开放:回声、清明、失重。
Am I Warrior from the past, or a Messiah from the future?|我是来自过去的战士，还是来自未来的救世主？
Am I Cat Searching for many, or a Mouse searching for one?|我是寻找众多的猫，还是寻找唯一的老鼠？
<LINE>Am I a doomed Samaritan, or an Anomaly across time and space?|<LINE>我是注定失败的善者，还是跨越时空的异常？
<LINE>Am I doomed a Samaritan, or am I forever stuck in your shadow?|<LINE>我注定要做善者，还是永远困在你的阴影里？
<LINE>I do not know, for I am not one. I am many.|<LINE>我不知道，因为我并非独自，也非唯一。
Those who walk a single path may find great treasure.<LINE>Those who wander many paths will find great truth.|循一条路的人可能发现宝藏，<LINE>而探多条路的人会找到真相。

// 怪猫姓名和简介
Paincat|惨淡猫
PAINCAT|惨淡猫
Inv|Inv
INV|INV
Enot|Enot
ENOT|ENOT
Sofanthiel|Sofanthiel
SOFANTHIEL|SOFANTHIEL
Gorbo|Gorbo
GORBO|GORBO
???|???
You have been through hell and back, but now, it's<LINE>time to atone for your sins in your past cycles.|你已经经历了地狱，但现在，是时候为你过去的循环赎罪了。 
...why are you here|...你为什么在这里呢
Thanks, Andrew.|谢谢，安德鲁。
.kcor dna raeps ruoy hctanS<LINE>.emit tsrif ruoy ekil eb t'now ti tub ,uoy dnuora ni esolc seimene ruoY|。头石和矛长的你紧握<LINE>。时那见初像再不这已但，伺环人敌
Welcome to tower of gains: where you'll be doing heavy lifting for the<LINE>duration of your stay. I hope you've brought hydration, <USERNAME>!|欢迎来到收获之塔:在这里停留的时间你有些重活儿要干。<LINE>希望你带了水，<USERNAME>！
$5 to unlock this description.|本描述需花费5美元解锁
egg|蛋
Seeking love will lead you down the<LINE>beautiful path of heartbreaking wrecks.|寻找爱情将带你走上<LINE>心碎残骸的美丽道路
How much wood could a wood chuck chuck<LINE>if a wood chuck could chuck wood?|要是土拨鼠能拨土，<LINE>一只鼠能拨多少土？
Feeling Lucky?<LINE>Try holding your slugcat portrait ;)|感到幸运？<LINE>按住你的蛞蝓猫头像试试看;)
Did you know:<LINE>Meadow was released this Friday|你知道吗:<LINE>雨甸这周五发布了
Did you know:<LINE>You're bad at Arena|你知道吗:<LINE>你在竞技场很菜
Did you know:<LINE>There's more "Did you know"s.|你知道吗:<LINE>还有更多"你知道吗"
Did you know:<LINE>This is the only "Did you know".|你知道吗:<LINE>这是唯一的"你知道吗"
You will lose this round<LINE>Your body will not be found<LINE>6 feet underground|你会输掉这局<LINE>你的尸体将不被发现<LINE>在那六英尺地下
"<USERNAME>, youre gonna get us both killed"|"<USERNAME>，你会把我们俩都害死"
"no srsly wheres my egg"|"不说真的，的我的蛋在哪"
"u dont need 2 be alone, bby."|"泥不需要孤单，北鼻！"
"sometimes i wake up with a friend ive never met b4"|"有时早晨我会在未曾见过的朋友边上醒来"
"i luv u <3"|"我爱你<3"
WHY DID IT HAVE TO BE A VARIABLE<LINE>num2 IS LITERALLY 0|为什么非得是个变量？<LINE>num2明明写死了是0！
Don't Care<LINE>Nuh<LINE>Yuh|无所谓<LINE>才怪<LINE>好吧
Suddenly, the result rectangle failed to appear, you are softlocked.<LINE>What the hell.<LINE>I thought that glitch was fixed a while ago...|突然，结果框未能出现，你被软锁了。<LINE>什么鬼。<LINE>我以为那个Bug早就修好了……
Ever thought about contributing to<LINE>https://github.com/henpemaz/Rain-Meadow?|想过给https://github.com/henpemaz/Rain-Meadow贡献吗？
Be careful when selecting the Fartificer|选择屁匠时要小心
am getting "among us potion at 3 am" vibes<LINE>add that /lh|哇有点“凌晨3点的among us药水”氛围<LINE>句末加扩号（轻快
Playtesters<LINE>Are<LINE>Replaceable|游玩测试员<LINE>是<LINE>可替代的
There's enough inv descriptions.<LINE>DOESNT FILL MY EMPTY STOMACH|有足足的inv简介。<LINE>但填不饱我空空的胃！
"hiiii!"|"你好好好！"
"i'm ded"|"我死了"
bleh|呃
inv? like invalidunits?|inv？就像invalidunits吗？

// 蛞蝓猫老虎机！
Press and hold something on screen to spin the slots / Hope you brought green|按住屏幕上的元素来旋转老虎机 / 希望你带了钱来
One, two three of a kind / Somewhere on this page you will find|三个相同 / 你会在这页某处找到
A joke started from the Meadow Discord / Makes all players broke, and none can afford|发源自Meadow Discord的笑话 / 让所有玩家破产，没人再买得起
SCUGSLOTS|蛞蝓猫老虎机
LET'S ROLL!|开始吧！
Oops, better luck next time!|哎呀，下次好运！
Try your luck again!|再试试运气！
99% of gamblers quit before they win big|99%的赌徒都在赢大钱前退出
So Close! Keep trying!|很接近！继续尝试！
Almost there!|快到了！
Congratulations! You have achieved the ultimate gamble skill!!!|恭喜！你获得了终极赌博技能！！！
Gahh?? Impossible?!|啊？？不可能？！
You got a <SLUGCATNAME>!|你获得了<SLUGCATNAME>！

// 聊天教程
Press '|按下'
' to chat, press '|'来聊天，按下'
' to toggle the chat log|'来切换聊天记录

// 玩家加入/离开
joined the game.|加入了游戏
tried to join the game but was kicked.|尝试加入游戏但被踢出
left the game.|离开了游戏

// 死亡信息
died.|死了。
was crushed by the rain.|被雨水碾碎了。
fell into the abyss.|坠入了深渊。
drowned.|溺水了。
hit the ground too hard.|落地过猛。
was killed through unknown means.|被未知手段杀死了。
tried to swim in burning liquid.|尝试在灼热的液体中游泳。
spontaneously combusted.|自燃了。
froze to death.|冻死了。
was swallowed by the grass.|被舌草吞没。
was swallowed by the walls.|被墙壁吞没。
was electrocuted.|触电身亡。
licked the power.|舔了电源。
was consumed by the swarm.|被虫群吞噬。
was electrocuted in the water.|在水中触电了。
was obliterated by the sandstorm.|被沙暴摧毁。
died from poison.|中毒身亡。
was struck by lightning.|被闪电击中。
was consumed by locusts.|被蝗虫吞噬。
swam with the ripples.|随波逐流。
experienced the force of fresh fruit.|体验到了新鲜水果的力量。
was burnt to a crisp.|被烧焦了。
was taken into the abyss by|被带入了无底深渊，凶手是
was drowned by|淹死了，凶手是
was slain by|被杀了，凶手是
was ascended by|被超度了，凶手是
was zapped by a|被电击了，凶手是一只
was ambushed by a|被伏击了，凶手是一只
was taken by a|被带走了，凶手是一只
was slain by a|被杀了，凶手是一只

// 死亡信息中出现的生物名称
Pink Lizard|粉蜥蜴
Green Lizard|绿蜥蜴
Blue Lizard|蓝蜥蜴
Yellow Lizard|金蜥蜴
White Lizard|白蜥蜴
Red Lizard|红蜥蜴
Black Lizard|黑蜥蜴
Salamander|蝾螈
Cyan Lizard|青蜥蜴
Leech|水蛭
Sea Leech|海水蛭
Snail|波动龟
Vulture|秃鹫
Garbage Worm|垃圾虫
Lantern Mouse|光鼠
Cicada A|白色蝉乌贼
Cicada B|黑色蝉乌贼
Jet Fish|蛙鱼
Big Eel|利维坦
Deer|雨鹿
Tube Worm|管虫
Daddy Long Legs|蓝长腿菌
Brother Long Legs|黄长腿菌
Tentacle Plant|红树
Pole Mimic|拟态草
Miros Bird|钢鸟
Temple Guard|守卫
Centipede|蜈蚣
Red Centipede|烈焰蜈蚣
Scavenger|拾荒者
Centiwing|飞蜈蚣
Small Centipede|小蜈蚣
Overseer|监视者
Vulture Grub|射线虫
Big Spider|狼蛛
Spitter Spider|烈焰狼蛛
Egg Bug|蛋虫
Small Needle|小面条蝇
Big Needle|大面条蝇
Drop Bug|落网虫
King Vulture|魔王鹫
Hazer|乌贼
Miros Vulture|钢秃鹫
Caramel Lizard|焦糖蜥蜴
Eel|鳗蜥蜴
Strawberry|草莓蜥蜴
Mother Spider|蛛母
Terror Long Legs|紫长腿菌
Aquapede|水蜈蚣
Stowaway Bug|偷渡虫
Elite Scavenger|精英拾荒者
Inspector|监察者
Yeek|跃客
Big Jellyfish|巨型水母
Jungle Leech|丛林水蛭
Hell Bug|火虫
King Scavenger|拾荒者王
Slugpup|蛞蝓猫幼崽
Train Lizard|火车蜥蜴
Barnacle|藤壶
DrillCrab|钻蟹
SandGrub|沙虫
BigSandGrub|大沙虫
BigMoth|大蛾
SmallMoth|小蛾
Box Worm|箱虫
Fire Sprite|火精灵
Rattler|震骨者
SkyWhale|天空鲸
ScavengerTemplar|拾荒者圣堂武士
ScavengerDisciple|拾荒者门徒
Loach|泥鳅
Rot Behemoth|腐烂巨兽
Blizzard Lizard|暴雪蜥蜴
Basilisk Lizard|蛇怪蜥蜴
Indigo Lizard|靛蓝蜥蜴
Rat|老鼠
Frog|青蛙
Tardigrade|水熊虫

// 直接连接文本
Direct Connection... |直接连接……
Password:|密码:
Invalid Address, IP Address format should be xxx.xxx.xxx.xxx:port|无效地址，IP地址格式应为xxx.xxx.xxx.xxx:端口
This address is possibly not local to your current network.|此地址可能不在你当前本地网络中。
If so, This is very unstable and will most likely NOT work|如果是这样，这将非常不稳定且很可能不起作用
Are you SURE you know what you're doing?|你确定你清楚自己在做什么吗？

// LAN Matchmaking Manager
LAN Lobby|局域网房间
Nobody|没有人
Your network interface(s) are|你的网络接口是
<NAME> network interface is |<NAME>的网络接口是
You are the owner of the lobby.|你是房间所有者。
This player is the owner of the lobby.|此玩家是房间所有者。
Players can "Direct Connect" to this lobby through your interface(s).|玩家可以通过你的接口"直接连接"到此房间。
Players can "Direct Connect" to this lobby through their interface(s).|玩家可以通过他们的接口"直接连接"到此房间。
You cannot use this feature here.|你无法在此使用此功能。

// 检查应用模组
Error loading mods!|加载模组错误！
A restart is required to finish applying the mod changes.|更改的模组需要重启方可应用。
Restarting now...|正在重启……
Mod Mismatch!|模组不匹配！
Mods that have to be enabled: |需要启用的模组:
Mods that have to be disabled: |需要禁用的模组:
Mods that have to be installed: |需要安装的模组:
Apply these changes now?|现在应用这些更改？
Warning: Differing Mod Load Orders!|警告：不同的模组加载顺序！
This may cause unstable play.|这可能导致游戏不稳定。
Reorder your mods now?|现在重新排序你的模组？
Cannot join due to missing DLC!|由于缺少DLC无法加入！
Missing DLC Mods that have to be enabled: |需要启用的缺失DLC模组:

// 拓展菜单设定
Note: These inputs are not used in Meadow mode|注意:这些按键在牧原模式中不可使用
Show usernames|显示用户名
Username Toggle|开关用户名
Replace holding with toggling|用开关切换代替长按显示
Key used for toggling spectator mode|切换旁观者模式的按键
Stop Inputs While Spectating|旁观时暂停输入
Pointing Key|指点按键
Control which mods are permitted on clients by editing the files below.<LINE>Instructions included within.|通过编辑以下文件控制客户端允许的模组。<LINE>内含相关说明。
Edit High-Impact Mods|编辑高影响模组
Edit Banned Mods|编辑禁止模组
Chat Log Toggle|聊天记录切换
Chat Talk Button|聊天说话按钮
Chat Background Opacity|聊天背景透明度
Show Ping|显示延迟
Playtesting Gift|游玩测试礼物
Chat Log On/Off|聊天记录开关
Introroll|开场动画
Vanilla|原版
Downpour|倾盆大雨
Downpour DLC is not activated, vanilla intro will be used instead|倾盆大雨DLC未激活，将使用原版开场
